event_id,event_name,event_type,country,year,program,entries,reported_process,missing_process,coverage_rate
ad438a1492b82749,2010,COE,Rwanda,2010,COE,22,0,22,0
ada629ce75da8ae0,2006,COE,El Salvador,2006,COE,23,0,23,0
b049d78ce4ab573e,Costa Rica 2023,COE,Costa Rica,2023,COE,30,30,0,1
b0fc9afec2b36341,Guatemala 2025,COE,Guatemala,2025,COE,30,30,0,1
b0fc9afec2b36341,Guatemala 2025,COE,Guatemala,2025,NW,5,5,0,1
b2252d20dd28d7dd,2015,COE Pulped Natural,Brazil,2015,COE,21,21,0,1
b26066e3491384bc,2007,COE,Honduras,2007,COE,24,0,24,0
b762b1a91ef82ae0,2014,COE,Costa Rica,2014,COE,24,0,24,0
bc5c1e38d691c08b,2017,COE,Burundi,2017,COE,23,0,23,0
bc80a53b61b50b1c,2013,COE Pulped Natural,Brazil,2013,COE,27,27,0,1
becb5d5a8d06e2c4,2006,COE,Guatemala,2006,COE,25,0,25,0
c00d15b2e8b05812,Honduras 2023,COE,Honduras,2023,COE,30,30,0,1
c0bf466579f2d947,Honduras 2021,COE,Honduras,2021,COE,25,25,0,1
c1a563a1cea61442,2017,COE,Honduras,2017,COE,24,0,24,0
c56ff7f8e1e41dd6,2009,COE,Nicaragua,2009,COE,26,0,26,0
c5947e46efa4a520,Mexico 2023,COE,Mexico,2023,COE,26,26,0,1
c5f2e2e30775dfe7,2009,COE,Costa Rica,2009,COE,24,0,24,0
c70d21b6380ff8fc,Ecuador 2021,COE,Ecuador,2021,COE,23,23,0,1
c8752ceee8bb53f1,2006,COE Pulped Natural,Brazil,2006,COE,28,28,0,1
c991847a22ff1716,El Salvador 2023,COE,El Salvador,2023,COE,30,30,0,1
cb99a98e8f70e864,2017,COE,Colombia,2017,COE,30,0,30,0
cbb6685c1de9606c,2011,COE,Rwanda,2011,COE,36,0,36,0
cbe3c4b09a54bec0,2005,COE,Bolivia,2005,COE,19,0,19,0
cbf7cef16e2f2288,2006 South,COE regional,Colombia,2006,COE,30,0,30,0
cc0114c82be5db63,2019,COE,Mexico,2019,COE,28,28,0,1
ce40b6a6738bbb99,2019,COE,Costa Rica,2019,COE,28,28,0,1
d097a68f0a5eff0b,2012 South,COE regional,Colombia,2012,COE,30,0,30,0
d144777157aa3439,2013,COE,Costa Rica,2013,COE,22,0,22,0
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,30,30,0,1
d499fbd326fc6ee9,2010 South,COE regional,Colombia,2010,COE,21,0,21,0
d767976e2066de8e,2005,COE,Nicaragua,2005,COE,35,0,35,0
d9e938f39eb3880a,Peru 2024,COE,Peru,2024,COE,25,25,0,1
d9e938f39eb3880a,Peru 2024,COE,Peru,2024,NW,7,7,0,1
da5b8d67ef9fccb3,2008,COE,Nicaragua,2008,COE,25,0,25,0
da9b1a5c74fd4dd4,2006,COE,Nicaragua,2006,COE,25,0,25,0
db8d673b53d2c07d,2018,COE,Mexico,2018,COE,29,28,1,0.9655172413793104
dec3b623fc3b102d,2016,COE,Costa Rica,2016,COE,21,0,21,0
deeed450e36aab5d,Costa Rica 2022,COE,Costa Rica,2022,COE,22,22,0,1
df2a0030ea37d2c1,2015,COE,Burundi,2015,COE,24,0,24,0
e027de3eaca1fdbe,Guatemala 2021,COE,Guatemala,2021,COE,28,28,0,1
e27e0f7c702fa71e,2015 December,COE Natural,Brazil,2015,COE,29,29,0,1
e2acf27cd7656ef2,2001,COE Pulped Natural,Brazil,2001,COE,18,18,0,1
e36d63fff8523cfb,2004,COE Pulped Natural,Brazil,2004,COE,36,36,0,1
e38c7393edb1fc36,2002,COE,Guatemala,2002,COE,33,0,33,0
e3acd98cde143171,2009,COE,Guatemala,2009,COE,23,0,23,0
e3ee4b83024a8fdc,2015 North,COE regional,Colombia,2015,COE,28,0,28,0
e4999c5ee612d56f,2005,COE,Honduras,2005,COE,41,0,41,0
e4f222213bccceb2,Thailand 2025,COE,Thailand,2025,COE,21,21,0,1
e4f222213bccceb2,Thailand 2025,COE,Thailand,2025,NW,7,7,0,1
e741c9bf9232ab04,2011,COE,Nicaragua,2011,COE,27,0,27,0
e79330b9e90b09dc,Mexico 2025,COE,Mexico,2025,COE,30,30,0,1
e79330b9e90b09dc,Mexico 2025,COE,Mexico,2025,NW,4,4,0,1
e80af4f8d8bd890c,Indonesia 2021,COE,Indonesia,2021,COE,26,26,0,1
e91a6326be6cc6dc,2008 South,COE regional,Colombia,2008,COE,18,0,18,0
eb131b841c2d82a2,2017,COE,Nicaragua,2017,COE,25,0,25,0
eb4956f44a554a3b,2013,COE,Mexico,2013,COE,15,0,15,0
eba617e4fe8e52b9,2012,COE,El Salvador,2012,COE,28,0,28,0
ed9a6c81f8e5fb94,Colombia 2022,COE,Colombia,2022,COE,22,22,0,1
ef7f110ca8ad65a5,2018,COE,Honduras,2018,COE,36,36,0,1
efb2f39d90f46af8,2007,COE,Costa Rica,2007,COE,25,0,25,0
f06207128b447b2a,2017,COE,Peru,2017,COE,19,0,19,0
f142488b1549196e,2014,COE,Burundi,2014,COE,27,0,27,0
f1e54b3b5ca863aa,2014 South,COE regional,Colombia,2014,COE,28,0,28,0
f52a7809bb1fd00e,El Salvador 2021,COE,El Salvador,2021,COE,24,24,0,1
f57a799e620edb5c,2016,COE Natural,Brazil,2016,COE,19,19,0,1
f59277b5e64c2ec4,2004,COE,El Salvador,2004,COE,35,0,35,0
f6b296b9e61cd542,2013,COE,Honduras,2013,COE,22,0,22,0
f8c00d6b60400117,Brazil 2021,COE,Brazil,2021,COE,29,29,0,1
