event_id,country,year,program,event_name,source_url,lots,prices_reported,weights_reported,buyers_reported,price_coverage,weight_coverage,buyer_coverage
86196d6e98565c85,Costa Rica,2017,NW,2017,https://allianceforcoffeeexcellence.org/costa-rica-coe-2017/,3,3,0,3,1,0,1
86f5fadc62969c5f,Bolivia,2004,COE,2004,https://allianceforcoffeeexcellence.org/bolivia-2004/,13,13,0,13,1,0,1
8783a594e2c5082b,Brazil,2014,COE,2014,https://allianceforcoffeeexcellence.org/brazil-naturals-2014/,23,23,0,23,1,0,1
88ab413a4b17ecde,Honduras,2019,COE,2019,https://allianceforcoffeeexcellence.org/honduras-2019/,33,33,33,33,1,1,1
8aabc8f0143025f3,Honduras,2011,COE,2011,https://allianceforcoffeeexcellence.org/honduras-2011/,33,33,0,33,1,0,1
8b291231c7145e12,Honduras,2015,COE,2015,https://allianceforcoffeeexcellence.org/honduras-2015/,37,37,0,37,1,0,1
8ba1050b3deba653,Colombia,2013,COE,2013 North,https://allianceforcoffeeexcellence.org/colombia-north-2013/,20,20,0,20,1,0,1
8df430f321dfebe7,Nicaragua,2014,COE,2014,https://allianceforcoffeeexcellence.org/nicaragua-2014/,25,25,0,25,1,0,1
8ec9c5ddcac94e33,Colombia,2021,COE,Colombia 2021,https://allianceforcoffeeexcellence.org/colombia-2021/,25,25,25,25,1,1,1
8f48007819e94a7e,Guatemala,2022,COE,Guatemala 2022,https://allianceforcoffeeexcellence.org/guatemala-2022/,33,33,33,33,1,1,1
8f910a10a522a6e4,Brazil,2024,COE,Brazil 2024,https://allianceforcoffeeexcellence.org/brazil-2024/,24,23,23,23,0.9583333333333334,0.9583333333333334,0.9583333333333334
90ce520eb2b1c7b3,Brazil,2012,COE,2012,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2012/,24,24,0,24,1,0,1
924c6ccd256e3867,Colombia,2005,COE,2005 North,https://allianceforcoffeeexcellence.org/colombia-north-2005/,25,25,0,25,1,0,1
932be81913d4d6cc,Ecuador,2022,COE,Ecuador 2022,https://allianceforcoffeeexcellence.org/ecuador-2022/,19,19,19,19,1,1,1
94e0f75eb8b007ec,Guatemala,2019,COE,2019,https://allianceforcoffeeexcellence.org/guatemala-2019/,23,23,23,23,1,1,1
958690440cdbefb5,Nicaragua,2002,COE,2002,https://allianceforcoffeeexcellence.org/nicaragua-2002/,37,37,0,37,1,0,1
95f3bb26fec856b9,Nicaragua,2024,COE,Nicaragua 2024,https://allianceforcoffeeexcellence.org/nicaragua-2024/,31,31,31,31,1,1,1
96a5d35a9035433e,Mexico,2012,COE,2012,https://allianceforcoffeeexcellence.org/mexico-2012/,10,10,0,10,1,0,1
97486e2f1c2df951,Brazil,2012,COE,2012,https://allianceforcoffeeexcellence.org/brazil-naturals-2012/,18,18,0,18,1,0,1
977c3d13e69fd1a0,Colombia,2005,COE,2005 South,https://allianceforcoffeeexcellence.org/colombia-south-2005/,33,33,0,33,1,0,1
9afb42276738b733,Mexico,2022,COE,Mexico 2022,https://allianceforcoffeeexcellence.org/mexico-2022/,33,33,33,33,1,1,1
9b39103db61369e1,El Salvador,2003,COE,2003,https://allianceforcoffeeexcellence.org/el-salvador-2003/,31,31,0,31,1,0,1
