date,year,month,series,value,unit,market_scope,source_url
2007-03-01,2007,3,Cocoa — World Bank,1.92,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-04-01,2007,4,Cocoa — World Bank,1.98,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-05-01,2007,5,Cocoa — World Bank,2,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-06-01,2007,6,Cocoa — World Bank,2.02,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-07-01,2007,7,Cocoa — World Bank,2.16,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-08-01,2007,8,Cocoa — World Bank,1.91,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-09-01,2007,9,Cocoa — World Bank,1.93,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-10-01,2007,10,Cocoa — World Bank,1.91,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-11-01,2007,11,Cocoa — World Bank,1.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-12-01,2007,12,Cocoa — World Bank,2.11,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-01-01,2008,1,Cocoa — World Bank,2.2,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-02-01,2008,2,Cocoa — World Bank,2.5,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-03-01,2008,3,Cocoa — World Bank,2.73,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-04-01,2008,4,Cocoa — World Bank,2.61,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-05-01,2008,5,Cocoa — World Bank,2.68,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-06-01,2008,6,Cocoa — World Bank,3,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-07-01,2008,7,Cocoa — World Bank,2.97,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-08-01,2008,8,Cocoa — World Bank,2.82,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-09-01,2008,9,Cocoa — World Bank,2.7,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-10-01,2008,10,Cocoa — World Bank,2.27,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-11-01,2008,11,Cocoa — World Bank,2.05,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2008-12-01,2008,12,Cocoa — World Bank,2.39,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2009-01-01,2009,1,Cocoa — World Bank,2.63,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
