country,year,source_url,download_status,download_error,competition_rows,auction_rows
El Salvador,2024,https://allianceforcoffeeexcellence.org/el-salvador-2024/,success,NA,33,36
El Salvador,2025,https://allianceforcoffeeexcellence.org/el-salvador-2025/,success,NA,32,32
Ethiopia,2020,https://allianceforcoffeeexcellence.org/ethiopia-2020/,success,NA,0,12
Ethiopia,2021,https://allianceforcoffeeexcellence.org/ethiopia-2021/,success,NA,42,44
Ethiopia,2022,https://allianceforcoffeeexcellence.org/ethiopia-2022/,success,NA,42,44
Ethiopia,2024,https://allianceforcoffeeexcellence.org/ethiopia-2024/,success,NA,42,42
Guatemala,2001,https://allianceforcoffeeexcellence.org/guatemala-2001/,failed,"Page accessed, but no compatible table was recognized.",0,0
Guatemala,2002,https://allianceforcoffeeexcellence.org/guatemala-2002/,success,NA,33,0
Guatemala,2006,https://allianceforcoffeeexcellence.org/guatemala-2006/,success,NA,25,0
Guatemala,2007,https://allianceforcoffeeexcellence.org/guatemala-2007/,success,NA,19,0
Guatemala,2008,https://allianceforcoffeeexcellence.org/guatemala-2008/,success,NA,25,0
Guatemala,2009,https://allianceforcoffeeexcellence.org/guatemala-2009/,success,NA,23,0
Guatemala,2010,https://allianceforcoffeeexcellence.org/guatemala-2010/,success,NA,28,0
Guatemala,2011,https://allianceforcoffeeexcellence.org/guatemala-2011/,success,NA,29,0
Guatemala,2012,https://allianceforcoffeeexcellence.org/guatemala-2012/,success,NA,23,0
Guatemala,2013,https://allianceforcoffeeexcellence.org/guatemala-2013/,success,NA,23,0
Guatemala,2014,https://allianceforcoffeeexcellence.org/guatemala-2014/,success,NA,24,0
Guatemala,2015,https://allianceforcoffeeexcellence.org/guatemala-2015/,success,NA,24,0
Guatemala,2016,https://allianceforcoffeeexcellence.org/guatemala-2016/,success,NA,25,0
Guatemala,2017,https://allianceforcoffeeexcellence.org/guatemala-2017/,success,NA,30,11
Guatemala,2018,https://allianceforcoffeeexcellence.org/guatemala-2018/,success,NA,37,4
