country,year,rank,farm,process_group,process,variety,process_family,source_url
El Salvador,2021,19,Santa Josefita,NA,Washed,Bourbon,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,20,Las Margaritas,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,21,El Izotal,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,23,San Carlos Dos,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,24,Plan Del Hoyo,NA,Honey,Kenya,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2022,1a,El Conacaste,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,3a,Cueva De La Olla,NA,Washed,Pacamara & Pacas,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,4,La Pacaya,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,5,Benasque,NA,Natural,Kenya,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,6,Peña Redonda,NA,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,8,Don Jaime,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,9,Las Duanas,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,10,La Libertad,NA,Natural,Bourbon & Kenya,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,11,Santa Juana,NA,Natural,Bernardina,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,12,La Laguna,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,13,Finca The Sugar Maples,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,14,Nejapa,NA,Natural,Elefante,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,16,Santa Fe,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,17,El Mirador,NA,Washed,Gesha,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,18,La Montañita,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,19,Las Ventanas,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,20,Helvetia,NA,Natural,Bourbon,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,21,Los Milagros,NA,Washed,Pacas & Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,22,La Reforma,NA,Natural,Kenya Sl28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,23,Las Brumas,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,24,Nombre De Dios,NA,Natural,Bourbon & Pacas,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,25,Finca El Pezote,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2022,26,San Andres,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2022/
El Salvador,2023,1a,MILEYDI,NA,SEMIL – WASHED,PACAMARA,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,2a,LOS MORALES 1,NA,NATURAL,GEISHA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,4,LA MONTAÑA,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,5,LA ARADA,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,6,NUEVA GRANADA,NA,WASHED,ELEFANTE,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,7,DIVINA PROVIDENCIA,NA,NATURAL,KENYA SL 28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,8,PLAN DEL HOYO,NA,NATURAL,KENYA SL 28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,9,LOS MORALES 2,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,12,LAS MARIAS,NA,NATURAL,GEISHA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,14,TALQUEZALAR,NA,WASHED,PACAMARA,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,20,NORUEGA,NA,NATURAL,GEISHA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,21,SANTA LETICIA,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,22,EL ZAPOTE (ETHIOPIA),NA,NATURAL,GEISHA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,23,PEÑA REDONDA,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,25,EL GUAJE,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,26,PINAR DE SANTIAGO,NA,NATURAL,ANACAFE 80% /MARSELLESA 20%,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,27,SANTA PETRONA,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2023,28,LOS ANGELES,NA,NATURAL,KENYA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2023/
El Salvador,2024,1,La Bendicion,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,3,Finca El Portezuelo,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,4,La Montaña,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,5,San Antonio De Alejandria,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
