country,year,base_process,entries,total_entries,share
Honduras,2024,Washed,16,29,0.5517241379310345
Honduras,2025,Honey / pulped natural,4,30,0.13333333333333333
Honduras,2025,Natural,6,30,0.2
Honduras,2025,Washed,20,30,0.6666666666666666
Indonesia,2021,Honey / pulped natural,2,26,0.07692307692307693
Indonesia,2021,Natural,13,26,0.5
Indonesia,2021,Washed,9,26,0.34615384615384615
Indonesia,2021,Wet hulled,2,26,0.07692307692307693
Indonesia,2022,Honey / pulped natural,5,22,0.22727272727272727
Indonesia,2022,Natural,9,22,0.4090909090909091
Indonesia,2022,Washed,6,22,0.2727272727272727
Indonesia,2022,Wet hulled,2,22,0.09090909090909091
Indonesia,2023,Honey / pulped natural,5,22,0.22727272727272727
Indonesia,2023,Natural,16,22,0.7272727272727273
Indonesia,2023,Wet hulled,1,22,0.045454545454545456
Mexico,2018,Natural,6,28,0.21428571428571427
Mexico,2018,Washed,22,28,0.7857142857142857
Mexico,2019,Honey / pulped natural,2,28,0.07142857142857142
Mexico,2019,Natural,4,28,0.14285714285714285
Mexico,2019,Washed,22,28,0.7857142857142857
Mexico,2021,Honey / pulped natural,6,30,0.2
Mexico,2021,Natural,8,30,0.26666666666666666
Mexico,2021,Washed,16,30,0.5333333333333333
Mexico,2022,Honey / pulped natural,2,30,0.06666666666666667
Mexico,2022,Natural,6,30,0.2
Mexico,2022,Washed,22,30,0.7333333333333333
Mexico,2023,Honey / pulped natural,3,26,0.11538461538461539
Mexico,2023,Natural,12,26,0.46153846153846156
Mexico,2023,Washed,11,26,0.4230769230769231
Mexico,2024,Honey / pulped natural,7,30,0.23333333333333334
Mexico,2024,Natural,8,30,0.26666666666666666
Mexico,2024,Washed,15,30,0.5
Mexico,2025,Honey / pulped natural,6,30,0.2
Mexico,2025,Natural,5,30,0.16666666666666666
Mexico,2025,Not reported,9,30,0.3
Mexico,2025,Washed,10,30,0.3333333333333333
Nicaragua,2018,Honey / pulped natural,5,35,0.14285714285714285
Nicaragua,2018,Natural,6,35,0.17142857142857143
Nicaragua,2018,Washed,24,35,0.6857142857142857
Nicaragua,2021,Honey / pulped natural,5,23,0.21739130434782608
Nicaragua,2021,Natural,7,23,0.30434782608695654
Nicaragua,2021,Not reported,1,23,0.043478260869565216
Nicaragua,2021,Washed,10,23,0.43478260869565216
Nicaragua,2022,Honey / pulped natural,4,26,0.15384615384615385
Nicaragua,2022,Natural,12,26,0.46153846153846156
Nicaragua,2022,Washed,10,26,0.38461538461538464
Nicaragua,2023,Honey / pulped natural,1,16,0.0625
Nicaragua,2023,Natural,6,16,0.375
Nicaragua,2023,Washed,9,16,0.5625
Nicaragua,2024,Honey / pulped natural,2,30,0.06666666666666667
Nicaragua,2024,Natural,10,30,0.3333333333333333
Nicaragua,2024,Washed,18,30,0.6
Nicaragua,2025,Honey / pulped natural,1,30,0.03333333333333333
Nicaragua,2025,Natural,14,30,0.4666666666666667
Nicaragua,2025,Washed,15,30,0.5
Peru,2018,Washed,23,23,1
Peru,2019,Honey / pulped natural,1,21,0.047619047619047616
Peru,2019,Washed,20,21,0.9523809523809523
Peru,2021,Natural,7,24,0.2916666666666667
Peru,2021,Washed,17,24,0.7083333333333334
Peru,2022,Natural,5,29,0.1724137931034483
Peru,2022,Washed,24,29,0.8275862068965517
Peru,2023,Honey / pulped natural,1,30,0.03333333333333333
Peru,2023,Natural,7,30,0.23333333333333334
Peru,2023,Washed,22,30,0.7333333333333333
Peru,2024,Natural,6,25,0.24
Peru,2024,Washed,19,25,0.76
Peru,2025,Honey / pulped natural,1,30,0.03333333333333333
Peru,2025,Natural,6,30,0.2
Peru,2025,Washed,23,30,0.7666666666666667
Rwanda,2018,Washed,28,28,1
Taiwan,2024,Honey / pulped natural,3,20,0.15
Taiwan,2024,Natural,13,20,0.65
Taiwan,2024,Washed,4,20,0.2
Taiwan,2025,Honey / pulped natural,7,27,0.25925925925925924
Taiwan,2025,Natural,14,27,0.5185185185185185
Taiwan,2025,Washed,6,27,0.2222222222222222
Thailand,2023,Honey / pulped natural,5,16,0.3125
Thailand,2023,Natural,9,16,0.5625
Thailand,2023,Washed,2,16,0.125
Thailand,2024,Honey / pulped natural,7,27,0.25925925925925924
Thailand,2024,Natural,15,27,0.5555555555555556
Thailand,2024,Washed,5,27,0.18518518518518517
Thailand,2025,Honey / pulped natural,8,21,0.38095238095238093
Thailand,2025,Natural,11,21,0.5238095238095238
Thailand,2025,Washed,2,21,0.09523809523809523
