country,year,event_name,event_type,source_url,accessed_at,active,notes
El Salvador,2023,El Salvador 2023,COE,https://allianceforcoffeeexcellence.org/el-salvador-2023/,2026-09-11,TRUE,Official ACE historical results page
El Salvador,2024,El Salvador 2024,COE,https://allianceforcoffeeexcellence.org/el-salvador-2024/,2026-09-11,TRUE,Official ACE historical results page
El Salvador,2025,El Salvador 2025,COE,https://allianceforcoffeeexcellence.org/el-salvador-2025/,2026-09-11,TRUE,Official ACE historical results page
Ethiopia,2020,Ethiopia 2020,COE,https://allianceforcoffeeexcellence.org/ethiopia-2020/,2026-09-11,TRUE,Official ACE historical results page
Ethiopia,2021,Ethiopia 2021,COE,https://allianceforcoffeeexcellence.org/ethiopia-2021/,2026-09-11,TRUE,Official ACE historical results page
Ethiopia,2022,Ethiopia 2022,COE,https://allianceforcoffeeexcellence.org/ethiopia-2022/,2026-09-11,TRUE,Official ACE historical results page
Ethiopia,2024,Ethiopia 2024,COE,https://allianceforcoffeeexcellence.org/ethiopia-2024/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2001,2001,COE,https://allianceforcoffeeexcellence.org/guatemala-2001/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2002,2002,COE,https://allianceforcoffeeexcellence.org/guatemala-2002/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2006,2006,COE,https://allianceforcoffeeexcellence.org/guatemala-2006/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2007,2007,COE,https://allianceforcoffeeexcellence.org/guatemala-2007/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2008,2008,COE,https://allianceforcoffeeexcellence.org/guatemala-2008/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2009,2009,COE,https://allianceforcoffeeexcellence.org/guatemala-2009/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2010,2010,COE,https://allianceforcoffeeexcellence.org/guatemala-2010/,2026-09-13,TRUE,Official ACE historical results page
